workerid,language,subjectCondition,player1color,player2color,player3color,sentence,condition,conditionOrder,trialnum,response,rt,trainingCorrect
ATPPB00USEHLF,English,only,purple,pink,tan,Player C made no shots,all-all-all,all-all-all,24,1,2661,NA
ATPPB00USEHLF,English,only,purple,lavender,darkorange,Player A tied with Player C,none-none-none,none-none-none,25,7,2798,NA
ATPPB00USEHLF,English,only,lightblue,purple,royalblue,Every player hit all of his shots,none-all-all,none-all-all,26,1,3181,NA
ATPPB00USEHLF,English,only,brown,midnight,lightorange,Every player hit none of his shots,none-all-all,all-none-all,27,1,5803,NA
ATPPB00USEHLF,English,only,seafoam,midnight,pink,We have a clear winner,none-half-half,none-half-half,20,1,3025,NA
ATPPB00USEHLF,English,only,purple,wheat,lightblue,Exactly one player hit none of his shots,half-half-all,half-all-half,21,1,4459,NA
ATPPB00USEHLF,English,only,darkorange,tan,lightorange,Most of the players missed shots,none-none-none,none-none-none,22,7,3011,NA
ATPPB00USEHLF,English,only,lightorange,royalblue,wheat,Player A tied with Player B,half-half-all,half-half-all,23,7,4502,NA
ATPPB00USEHLF,English,only,yellow,lightorange,brown,Player A placed second,none-half-half,half-none-half,28,2,5263,NA
ATPPB00USEHLF,English,only,brown,grey,seafoam,No player hit only some of his shots,none-none-none,none-none-none,1,2,13876,NA
ATPPB00USEHLF,English,only,brown,pink,yellow,Player B made no shots,all-all-all,all-all-all,0,1,6716,NA
ATPPB00USEHLF,English,only,seafoam,lightblue,grey,Player A shot perfectly,all-all-all,all-all-all,3,7,3676,NA
ATPPB00USEHLF,English,only,brown,grey,lavender,Player B placed second,none-half-all,half-none-all,2,1,7245,NA
ATPPB00USEHLF,English,only,yellow,seafoam,tan,No player hit none of his shots,none-all-all,all-all-none,5,1,8272,NA
ATPPB00USEHLF,English,only,lightorange,royalblue,yellow,Player A made no shots,none-none-none,none-none-none,4,7,3900,NA
ATPPB00USEHLF,English,only,yellow,lightblue,brown,Player C placed second,none-all-all,all-none-all,7,2,10474,NA
ATPPB00USEHLF,English,only,seafoam,purple,yellow,Exactly one player hit all of his shots,all-all-all,all-all-all,6,1,4622,NA
ATPPB00USEHLF,English,only,lavender,brown,lightblue,Player B shot perfectly,none-half-half,half-none-half,9,1,3306,NA
ATPPB00USEHLF,English,only,lightblue,brown,yellow,Someone did better than Player B,none-all-all,none-all-all,8,1,4679,NA
ATPPB00USEHLF,English,only,purple,pink,lightblue,Someone did better than Player A,all-all-all,all-all-all,11,1,3741,NA
ATPPB00USEHLF,English,only,royalblue,midnight,purple,Most of the players made shots,none-half-all,all-none-half,10,6,6925,NA
ATPPB00USEHLF,English,only,tan,pink,yellow,Player B tied with Player C,half-half-all,all-half-half,13,7,5196,NA
ATPPB00USEHLF,English,only,yellow,midnight,lightblue,We have a clear loser,all-all-all,all-all-all,12,1,4405,NA
ATPPB00USEHLF,English,only,lavender,seafoam,darkorange,Player C shot perfectly,none-half-all,half-all-none,15,1,3531,NA
ATPPB00USEHLF,English,only,yellow,lavender,grey,Every player hit only some of his shots,none-none-none,none-none-none,14,1,6784,NA
ATPPB00USEHLF,English,only,wheat,grey,seafoam,No player hit all of his shots,half-half-all,half-half-all,17,1,4764,NA
ATPPB00USEHLF,English,only,grey,lightblue,yellow,Someone did better than Player C,none-none-all,none-all-none,16,7,3565,NA
