workerid,language,tournamentCondition,player1color,player2color,player3color,sentence,condition,conditionOrder,correctAnswer,advancesCorrectFirstTime,advances,trialnum,response,rt,trainingCorrect
A28Q19NTTP0UIQ,English,any advances,seafoam,yellow,lightblue,Player C made shots,half-half-all,all-half-half,A-B-C,yes,A-B-C,24,7,12312,NA
A28Q19NTTP0UIQ,English,any advances,brown,grey,tan,None of the players will advance,none-half-half,half-none-half,A-C,yes,A-C,25,1,8835,NA
A28Q19NTTP0UIQ,English,any advances,royalblue,purple,tan,Two players will advance,none-half-half,half-half-none,A-B,yes,A-B,26,7,8019,NA
A28Q19NTTP0UIQ,English,any advances,lightorange,wheat,lavender,Most of the players will advance,all-all-all,all-all-all,A-B-C,yes,A-B-C,27,7,8005,NA
A28Q19NTTP0UIQ,English,any advances,yellow,purple,wheat,Player A made shots,all-all-all,all-all-all,A-B-C,yes,A-B-C,20,7,5911,NA
A28Q19NTTP0UIQ,English,any advances,darkorange,seafoam,royalblue,No player hit none of his shots,all-all-all,all-all-all,A-B-C,yes,A-B-C,21,7,6182,NA
A28Q19NTTP0UIQ,English,any advances,grey,seafoam,lightorange,Exactly one player hit some of his shots,none-half-all,half-all-none,A-B,yes,A-B,22,7,5016,NA
A28Q19NTTP0UIQ,English,any advances,midnight,darkorange,wheat,No player hit some of his shots,half-all-all,all-all-half,A-B-C,yes,A-B-C,23,1,7891,NA
A28Q19NTTP0UIQ,English,any advances,grey,lightorange,lightblue,Player C will be pleased,none-half-half,none-half-half,B-C,yes,B-C,28,5,9709,NA
A28Q19NTTP0UIQ,English,any advances,lightblue,brown,midnight,Player A will advance,none-none-none,none-none-none,none,yes,none,1,1,5634,NA
A28Q19NTTP0UIQ,English,any advances,purple,wheat,lavender,Player B will be disappointed,none-none-all,all-none-none,A,yes,A,0,7,7344,NA
A28Q19NTTP0UIQ,English,any advances,pink,grey,lavender,At least one player will advance,none-none-none,none-none-none,none,yes,none,3,1,4296,NA
A28Q19NTTP0UIQ,English,any advances,royalblue,purple,grey,Every player hit none of his shots,none-none-none,none-none-none,none,yes,none,2,7,4627,NA
A28Q19NTTP0UIQ,English,any advances,tan,grey,yellow,No player hit all of his shots,none-none-half,none-half-none,B,yes,B,5,7,9894,NA
A28Q19NTTP0UIQ,English,any advances,lightorange,royalblue,seafoam,Player A will be disappointed,none-none-none,none-none-none,none,yes,none,4,7,3848,NA
