workerid,language,tournamentCondition,player1color,player2color,player3color,sentence,condition,conditionOrder,correctAnswer,advancesCorrectFirstTime,advances,trialnum,response,rt,trainingCorrect
A357X6NIBOTHH0,ENGLISH,any advances,lightorange,seafoam,midnight,Player B made shots,half-half-all,half-half-all,A-B-C,yes,A-B-C,24,6,8606,NA
A357X6NIBOTHH0,ENGLISH,any advances,yellow,brown,grey,All of the players will advance,none-none-none,none-none-none,none,yes,none,25,1,4654,NA
A357X6NIBOTHH0,ENGLISH,any advances,lightblue,yellow,darkorange,Two players will advance,half-half-all,half-half-all,A-B-C,yes,A-B-C,26,3,9383,NA
A357X6NIBOTHH0,ENGLISH,any advances,tan,brown,seafoam,Player B will be pleased,all-all-all,all-all-all,A-B-C,yes,A-B-C,27,7,9794,NA
A357X6NIBOTHH0,ENGLISH,any advances,royalblue,brown,lightblue,Player A will advance,none-none-all,none-all-none,B,yes,B,20,3,5749,NA
A357X6NIBOTHH0,ENGLISH,any advances,seafoam,brown,yellow,Most of the players will advance,all-all-all,all-all-all,A-B-C,yes,A-B-C,21,5,9519,NA
A357X6NIBOTHH0,ENGLISH,any advances,purple,pink,grey,Player B will be disappointed,half-half-all,all-half-half,A-B-C,yes,A-B-C,22,4,11489,NA
A357X6NIBOTHH0,ENGLISH,any advances,grey,lightblue,yellow,No player hit some of his shots,none-none-none,none-none-none,none,yes,none,23,3,6407,NA
A357X6NIBOTHH0,ENGLISH,any advances,royalblue,pink,grey,Player B will advance,half-half-all,all-half-half,A-B-C,yes,A-B-C,28,6,15446,NA
A357X6NIBOTHH0,ENGLISH,any advances,brown,lightorange,lightblue,Player C will be disappointed,all-all-all,all-all-all,A-B-C,yes,A-B-C,1,1,11987,NA
A357X6NIBOTHH0,ENGLISH,any advances,darkorange,yellow,lavender,Player C made shots,half-all-all,all-all-half,A-B-C,yes,A-B-C,0,1,19006,NA
