Sentence,Condition,LiteralListener,RSAListener,UncertaintyListener,HumanMean,HumanLowerCI,HumanUpperCI
every(player)(made(every(shot))),NNN,0.0,0.0,0.0,1.3999999999999999,0.94884469792585868,1.8511553020741411
every(player)(made(every(shot))),NNS,0.0,0.0,0.0,1.0,nan,nan
every(player)(made(every(shot))),NNA,0.0,0.0,0.0,1.2608695652173914,0.73175098954969098,1.7899881408850917
every(player)(made(every(shot))),NSS,0.0,0.0,0.0,1.1923076923076923,0.80393390275570664,1.5806814818596779
every(player)(made(every(shot))),NSA,0.0,0.0,0.0,1.2727272727272727,0.87011272665432715,1.6753418188002183
every(player)(made(every(shot))),NAA,0.0,0.0,0.0,1.1666666666666667,0.99737091477012907,1.3359624185632044
every(player)(made(every(shot))),SSS,0.0,0.0,0.0,1.125,0.87407586037377683,1.3759241396262232
every(player)(made(every(shot))),SSA,0.0,0.0,0.0,1.2258064516129032,0.83372860031117368,1.6178843029146328
every(player)(made(every(shot))),SAA,0.0,0.0,0.0,1.4857142857142858,1.004296973521384,1.9671315979071875
every(player)(made(every(shot))),AAA,1.0,1.0,1.0,7.0,nan,nan
every(player)(made(no(shot))),NNN,1.0,1.0,1.0,6.8717948717948714,6.7634214897109644,6.9801682538787784
every(player)(made(no(shot))),NNS,0.0,0.0,0.0,1.2954545454545454,1.0160589977992451,1.5748500931098457
every(player)(made(no(shot))),NNA,0.0,0.0,0.0,1.2058823529411764,0.94124362109212267,1.4705210847902301
every(player)(made(no(shot))),NSS,0.0,0.0,0.0,1.0303030303030303,0.96952020308557063,1.09108585752049
every(player)(made(no(shot))),NSA,0.0,0.0,0.0,1.0384615384615385,0.96078678055114142,1.1161362963719357
every(player)(made(no(shot))),NAA,0.0,0.0,0.0,1.037037037037037,0.96232944668398779,1.1117446273900862
every(player)(made(no(shot))),SSS,0.0,0.0,0.0,1.5238095238095237,0.88593288393538316,2.1616861636836644
every(player)(made(no(shot))),SSA,0.0,0.0,0.0,1.0333333333333334,0.96630488045207441,1.1003617862145925
every(player)(made(no(shot))),SAA,0.0,0.0,0.0,1.04,0.95911202629035541,1.1208879737096447
every(player)(made(no(shot))),AAA,0.0,0.0,0.0,1.0,nan,nan
every(player)(made(some(shot))),NNN,0.0,0.0,0.0,1.096774193548387,0.90234878443595556,1.2911996026608186
every(player)(made(some(shot))),NNS,0.0,0.0,0.0,1.2058823529411764,0.84905697495541643,1.5627077309269364
every(player)(made(some(shot))),NNA,0.0,0.0,0.0,1.3333333333333333,0.80667888407268185,1.8599877825939846
every(player)(made(some(shot))),NSS,0.0,0.0,0.0,1.1304347826086956,0.86587549477484538,1.3949940704425456
every(player)(made(some(shot))),NSA,0.0,0.0,0.0,1.3999999999999999,1.0497447995339995,1.7502552004660004
every(player)(made(some(shot))),NAA,0.0,0.0,0.0,1.2307692307692308,0.83776258805077353,1.6237758734876881
every(player)(made(some(shot))),SSS,0.25,0.25643442703119756,0.41479449445165828,6.8571428571428568,6.7369386905106206,6.977347023775093
every(player)(made(some(shot))),SSA,0.25,0.23081170167592779,0.12441227844784855,5.7179487179487181,5.1128362504985674,6.3230611853988687
